DUID,PID,DUPERSID,DOBMM,DOBYY,SEX,RACEX,RACEAX,RACEBX,RACEWX,RACETHNX,HISPANX,HISPCAT,EDUCYEAR,Year,marry,income,poverty
3,4,6,13,16
20002,14,20002014,12,1963,2,1,3,3,1,1,1,5,12,2003,1,25200,3
20002,21,20002021,10,1986,1,1,3,3,1,1,1,92,8,2003,5,0,3
20002,38,20002038,5,1988,2,1,3,3,1,1,1,92,7,2003,6,0,3
20002,45,20002045,3,1993,2,1,3,3,1,1,1,92,2,2003,6,0,3
20002,51,20002051,9,1998,1,1,3,3,1,1,1,92,-1,2003,6,0,3
20002,68,20002068,3,1955,1,1,3,3,1,1,1,5,6,2003,1,16800,3
20003,11,20003011,2,2003,1,1,3,3,1,4,2,6,-1,2003,6,0,4
20003,19,20003019,5,1978,2,1,3,3,1,4,2,6,12,2003,1,20000,4
20003,26,20003026,1,1975,2,1,3,3,1,4,2,6,12,2003,5,32021,4
20003,30,20003030,8,1972,1,1,3,3,1,4,2,6,10,2003,1,23629,4
20004,18,20004018,8,1918,2,1,3,3,1,4,2,6,15,2003,2,27883,4
20007,16,20007016,7,1948,2,1,3,3,1,4,2,6,12,2003,1,60500,5
20007,23,20007023,7,1942,1,1,3,3,1,4,2,6,17,2003,1,90500,5
20007,30,20007030,4,1974,1,1,3,3,1,4,2,6,15,2003,5,31300,5
20014,11,20014011,9,2002,1,1,3,3,1,4,2,6,-1,2003,6,0,4
20014,17,20014017,11,1970,1,1,3,3,1,4,2,6,16,2003,1,60000,4
20014,24,20014024,5,1970,2,1,3,3,1,4,2,6,12,2003,1,0,4
20014,31,20014031,7,1999,1,1,3,3,1,4,2,6,-1,2003,6,0,4
20015,19,20015019,2,1958,2,1,3,3,1,4,2,6,14,2003,1,21202,5
20015,26,20015026,3,1954,1,1,3,3,1,4,2,6,16,2003,1,76005,5
20015,33,20015033,12,1989,1,1,3,3,1,4,2,6,5,2003,6,0,5
20016,13,20016013,6,1976,2,1,3,3,1,1,1,4,6,2003,1,0,3
20016,15,20016015,4,1984,2,1,3,3,1,4,2,6,12,2003,1,10000,3
20016,16,20016016,10,1979,1,1,3,3,1,1,1,4,12,2003,1,12000,4
20016,25,20016025,9,2003,2,1,3,3,1,1,1,4,-1,2003,6,0,3
20016,30,20016030,11,1976,1,1,3,3,1,1,1,4,6,2003,1,20000,3
20016,33,20016033,8,2003,2,1,3,3,1,4,2,6,-1,2003,6,0,3
20016,47,20016047,2,1963,1,1,3,3,1,1,1,4,13,2003,1,23920,4
20016,53,20016053,2,1983,1,1,3,3,1,4,2,6,9,2003,1,10000,3
20016,65,20016065,4,1976,2,1,3,3,1,1,1,4,14,2003,1,18000,4
20016,73,20016073,1,2002,2,1,3,3,1,1,1,4,-1,2003,6,0,4
20017,12,20017012,5,1920,2,2,3,1,3,2,2,6,8,2003,3,11628,3
20019,14,20019014,8,1921,2,2,3,1,3,2,2,6,11,2003,2,3456,1
20020,16,20020016,4,1926,1,1,3,3,1,4,2,6,13,2003,1,38974,5
20020,23,20020023,9,1927,2,1,3,3,1,4,2,6,14,2003,1,36861,5
20021,10,20021010,4,1968,1,1,3,3,1,4,2,6,14,2003,1,87106,4
20021,27,20021027,3,1968,2,1,3,3,1,4,2,6,16,2003,1,100,4
20021,34,20021034,11,1988,1,1,3,3,1,4,2,6,6,2003,6,0,4
20021,41,20021041,4,1990,2,1,3,3,1,4,2,6,5,2003,6,0,4
20021,57,20021057,11,1991,1,1,3,3,1,4,2,6,3,2003,6,0,4
20022,15,20022015,3,1993,2,1,3,3,1,1,1,5,2,2003,6,0,2
20022,22,20022022,4,1997,2,1,3,3,1,1,1,5,0,2003,6,0,2
20022,39,20022039,4,1961,2,1,3,3,1,1,1,5,12,2003,3,21665,2
20022,46,20022046,4,1989,2,1,3,3,1,1,1,5,5,2003,6,0,2
20023,10,20023010,4,1934,1,1,3,3,1,4,2,6,12,2003,1,34120,5
20023,27,20023027,12,1937,2,1,3,3,1,4,2,6,12,2003,1,33075,5
20025,14,20025014,2,1965,1,1,3,3,1,1,1,4,14,2003,1,98000,5
20025,21,20025021,9,1964,2,1,3,3,1,1,1,4,12,2003,1,42000,5
20025,38,20025038,11,1988,1,1,3,3,1,1,1,4,6,2003,6,0,5
20026,12,20026012,6,1939,1,1,3,3,1,4,2,6,14,2003,1,9956,3
20026,29,20026029,3,1939,2,1,3,3,1,4,2,6,13,2003,1,9956,3
20027,10,20027010,9,1975,2,1,3,3,1,4,2,6,13,2003,5,60015,5
20029,18,20029018,10,1948,2,1,3,3,1,4,2,6,17,2003,3,93478,5
20029,25,20029025,9,1980,2,1,3,3,1,4,2,6,13,2003,5,29500,4
20030,10,20030010,11,1960,1,3,3,3,3,4,2,6,12,2003,2,9600,2
20032,10,20032010,6,1955,1,1,3,3,1,1,1,4,9,2003,1,23075,4
20032,27,20032027,4,1956,2,1,3,3,1,1,1,4,9,2003,1,34475,4
20032,34,20032034,11,1980,2,1,3,3,1,1,1,4,12,2003,5,5000,4
20032,41,20032041,2,1989,1,1,3,3,1,1,1,4,6,2003,6,0,4
20033,15,20033015,3,1958,2,2,3,1,3,2,2,6,12,2003,3,9836,1
20033,22,20033022,8,1989,2,2,3,1,3,2,2,6,6,2003,6,0,1
20034,11,20034011,11,1946,1,2,3,1,3,2,2,6,13,2003,1,13000,4
20034,28,20034028,6,1954,2,2,3,1,3,2,2,6,13,2003,1,40000,4
20034,36,20034036,10,1991,2,2,3,1,3,2,2,6,3,2003,6,0,4
20035,18,20035018,1,1950,1,1,3,3,1,4,2,6,16,2003,1,73718,5
20035,25,20035025,6,1949,2,1,3,3,1,4,2,6,12,2003,1,60520,5
20039,15,20039015,8,1946,1,1,3,3,1,4,2,6,17,2003,4,40000,5
20039,22,20039022,5,1950,2,1,3,3,1,4,2,6,14,2003,4,77854,5
20041,17,20041017,12,1932,2,1,3,3,1,4,2,6,12,2003,3,18224,4
20044,17,20044017,7,1970,1,5,3,3,3,4,2,6,16,2003,5,70305,5
20045,15,20045015,7,1948,1,1,3,3,1,4,2,6,15,2003,1,78871,5
20045,22,20045022,2,1950,2,1,3,3,1,4,2,6,13,2003,1,33001,5
20046,16,20046016,10,1968,1,1,3,3,1,1,1,5,4,2003,1,12000,3
20046,23,20046023,7,1961,2,1,3,3,1,1,1,5,8,2003,1,18000,3
20046,30,20046030,3,1995,1,1,3,3,1,1,1,91,0,2003,6,0,3
20046,47,20046047,9,1998,1,1,3,3,1,1,1,91,-1,2003,6,0,3
20048,15,20048015,5,1947,1,1,3,3,1,4,2,6,16,2003,1,40170,5
20048,22,20048022,9,1945,2,1,3,3,1,4,2,6,13,2003,1,24464,5
20049,15,20049015,7,1970,2,2,3,1,3,2,2,6,11,2003,4,8118,1
20049,22,20049022,10,1988,1,2,3,1,3,2,2,6,6,2003,6,0,1
20049,39,20049039,10,1992,1,2,3,1,3,2,2,6,2,2003,6,0,1
20049,46,20049046,3,1996,2,2,3,1,3,2,2,6,0,2003,6,0,1
20051,13,20051013,4,1928,2,2,3,1,3,2,2,6,9,2003,2,17152,3
20052,11,20052011,3,1981,2,1,3,3,1,4,2,6,15,2003,5,6090,2
20052,14,20052014,10,1978,2,1,3,3,1,4,2,6,15,2003,5,8000,2
20053,14,20053014,3,1959,2,1,3,3,1,4,2,6,12,2003,1,18582,4
20053,21,20053021,11,1954,1,1,3,3,1,4,2,6,9,2003,1,18582,4
20053,38,20053038,3,1987,2,1,3,3,1,4,2,6,7,2003,5,3750,4
20054,11,20054011,7,2002,1,1,3,3,1,4,2,6,-1,2003,6,0,2
20054,16,20054016,9,1976,2,1,3,3,1,4,2,6,13,2003,5,16848,2
20054,23,20054023,3,1996,2,2,3,1,3,2,2,6,0,2003,6,0,2
20055,13,20055013,11,1976,2,1,3,3,1,1,1,4,16,2003,5,39949,5
20056,18,20056018,1,1958,1,1,3,3,1,1,1,4,12,2003,1,24000,4
20056,25,20056025,4,1956,2,1,3,3,1,1,1,4,12,2003,1,13000,4
20056,32,20056032,12,1991,1,1,3,3,1,1,1,4,9,2003,6,0,4
20056,47,20056047,6,1975,1,1,3,3,1,1,1,4,12,2003,5,3600,4
20059,18,20059018,8,1956,2,2,3,1,3,2,2,6,11,2003,5,7410,1
20059,25,20059025,6,1983,2,2,3,1,3,2,2,6,12,2003,5,16000,3
20059,32,20059032,2,1996,1,2,3,1,3,2,2,6,0,2003,6,0,1
20060,10,20060010,2,1934,1,2,3,1,3,2,2,6,10,2003,1,19374,5
20060,27,20060027,7,1955,2,2,3,1,3,2,2,6,17,2003,1,129428,5
20061,13,20061013,3,1927,2,1,3,3,1,4,2,6,12,2003,2,11680,3
20062,17,20062017,6,1969,2,4,1,3,3,3,2,6,16,2003,1,66207,5
20062,24,20062024,3,1971,1,5,3,3,3,4,2,6,14,2003,1,61797,5
20062,31,20062031,10,1992,1,4,1,3,3,3,2,6,3,2003,6,0,5
20062,48,20062048,3,1996,2,4,1,3,3,3,2,6,0,2003,6,0,5
20062,54,20062054,4,1999,1,4,1,3,3,3,2,6,-1,2003,6,0,5
20062,61,20062061,1,1943,2,4,1,3,3,3,2,6,17,2003,2,138241,5
20063,13,20063013,12,1968,1,2,3,1,3,2,2,6,12,2003,5,35000,4
20064,10,20064010,1,1953,2,1,3,3,1,4,2,6,14,2003,3,11983,3
20066,10,20066010,12,1932,2,2,3,1,3,2,2,6,12,2003,1,12198,2
20066,27,20066027,5,1923,1,2,3,1,3,2,2,6,10,2003,1,3798,2
20066,34,20066034,11,1986,2,2,3,1,3,2,2,6,10,2003,5,0,2
20068,10,20068010,2,1975,1,1,3,3,1,1,1,4,11,2003,1,3700,3
20068,27,20068027,1,1975,2,1,3,3,1,1,1,4,12,2003,1,33300,3
20068,34,20068034,11,1991,2,1,3,3,1,1,1,4,3,2003,6,0,3
20068,41,20068041,10,1997,1,1,3,3,1,1,1,4,-1,2003,6,0,3
20070,19,20070019,12,1958,1,1,3,3,1,4,2,6,14,2003,1,53000,4
20070,26,20070026,6,1957,2,1,3,3,1,4,2,6,13,2003,1,0,4
20070,33,20070033,2,1998,2,1,3,3,1,1,1,4,-1,2003,6,0,4
20070,48,20070048,9,2001,2,1,3,3,1,4,2,6,-1,2003,6,0,4
20072,11,20072011,11,1918,2,2,3,1,3,2,2,6,10,2003,2,5000,4
20072,19,20072019,8,1935,2,2,3,1,3,2,2,6,9,2003,2,32000,4
20073,17,20073017,10,1977,1,1,3,3,1,4,2,6,14,2003,5,16001,3
20074,19,20074019,9,1941,2,1,3,3,1,4,2,6,12,2003,1,26165,5
20074,26,20074026,7,1940,1,1,3,3,1,4,2,6,12,2003,1,33261,5
20076,11,20076011,4,1974,1,2,3,1,3,2,2,6,14,2003,5,16000,3
20076,16,20076016,11,1975,2,2,3,1,3,2,2,6,11,2003,3,23000,2
20076,21,20076021,9,2002,1,2,3,1,3,2,2,6,-1,2003,6,0,2
20076,23,20076023,2,1992,1,2,3,1,3,2,2,6,2,2003,6,0,2
20076,30,20076030,5,1997,2,2,3,1,3,2,2,6,-1,2003,6,0,2
20078,15,20078015,5,1930,1,1,3,3,1,4,2,6,16,2003,3,8413,1
20079,10,20079010,9,1946,1,1,3,3,1,4,2,6,12,2003,4,12000,3
20081,27,20081027,11,2000,1,1,3,3,1,4,2,6,-1,2003,6,0,3
20081,34,20081034,5,1966,1,1,3,3,1,4,2,6,12,2003,4,21015,3
20081,41,20081041,1,1995,1,1,3,3,1,4,2,6,0,2003,6,0,3
20082,19,20082019,4,1974,1,1,3,3,1,4,2,6,16,2003,5,33638,4
20083,11,20083011,9,1953,1,2,3,1,3,2,2,6,12,2003,1,0,4
20083,12,20083012,12,1950,2,2,3,1,3,2,2,6,12,2003,1,26333,4
20083,29,20083029,6,1967,1,2,3,1,3,2,2,6,15,2003,5,28000,4
20083,36,20083036,12,1982,1,2,3,1,3,2,2,6,12,2003,5,0,4
20083,43,20083043,8,1993,1,2,3,1,3,2,2,6,2,2003,6,0,4
20084,18,20084018,8,1950,2,4,1,3,3,3,2,6,5,2003,1,67500,5
20084,25,20084025,6,1954,1,4,1,3,3,3,2,6,11,2003,1,22500,5
20084,34,20084034,4,1984,1,4,1,3,3,3,2,6,11,2003,5,9000,5
20085,22,20085022,2,1939,2,1,3,3,1,4,2,6,12,2003,2,2893,1
20085,39,20085039,10,1966,1,1,3,3,1,4,2,6,17,2003,5,68255,5
20087,10,20087010,3,1953,2,1,3,3,1,4,2,6,16,2003,5,147033,5
20088,12,20088012,3,1959,2,1,3,3,1,4,2,6,17,2003,1,86667,5
20088,29,20088029,9,1959,1,1,3,3,1,4,2,6,15,2003,1,43333,5
20088,36,20088036,7,1986,2,1,3,3,1,4,2,6,9,2003,5,0,5
20088,43,20088043,7,1989,2,1,3,3,1,4,2,6,7,2003,6,0,5
20091,11,20091011,10,1971,2,1,3,3,1,4,2,6,16,2003,1,68500,5
20091,28,20091028,9,1969,1,1,3,3,1,4,2,6,17,2003,1,0,5
20091,35,20091035,2,1992,2,1,3,3,1,4,2,6,3,2003,6,0,5
20092,17,20092017,12,1952,1,1,3,3,1,4,2,6,16,2003,1,30010,4
20092,24,20092024,1,1956,2,1,3,3,1,4,2,6,16,2003,1,30010,4
20092,31,20092031,8,1983,2,1,3,3,1,4,2,6,11,2003,5,5075,4
20092,48,20092048,6,1986,1,1,3,3,1,4,2,6,8,2003,5,1695,4
20092,54,20092054,5,1989,1,1,3,3,1,4,2,6,6,2003,6,0,4
20092,61,20092061,10,1991,2,1,3,3,1,4,2,6,3,2003,6,0,4
20094,11,20094011,1,2003,1,1,3,3,1,4,2,6,-1,2003,6,0,3
20094,17,20094017,8,1968,2,1,3,3,1,4,2,6,12,2003,5,0,1
20094,24,20094024,3,1949,2,1,3,3,1,4,2,6,16,2003,3,43000,3
20094,31,20094031,1,1990,1,1,3,3,1,4,2,6,5,2003,6,0,3
20094,48,20094048,5,1991,1,1,3,3,1,4,2,6,4,2003,6,0,3
20094,54,20094054,9,1992,1,1,3,3,1,4,2,6,2,2003,6,0,3
20094,61,20094061,10,1995,2,1,3,3,1,4,2,6,0,2003,6,0,3
20094,78,20094078,12,1999,2,1,3,3,1,4,2,6,-1,2003,6,0,3
20095,19,20095019,2,1965,1,1,3,3,1,4,2,6,13,2003,1,2585,4
20095,26,20095026,7,1965,2,1,3,3,1,4,2,6,16,2003,1,37120,4
20095,33,20095033,5,1995,2,1,3,3,1,4,2,6,1,2003,6,0,4
20095,40,20095040,8,1999,2,1,3,3,1,4,2,6,-1,2003,6,0,4
20096,12,20096012,6,1969,2,1,3,3,1,4,2,6,12,2003,3,24677,3
20096,29,20096029,10,1990,2,1,3,3,1,4,2,6,5,2003,6,0,3
20096,36,20096036,12,1991,2,1,3,3,1,4,2,6,3,2003,6,0,3
20097,14,20097014,7,1980,2,2,3,1,3,2,2,6,12,2003,5,15787,3
20098,12,20098012,12,1957,2,1,3,3,1,4,2,6,14,2003,5,42994,5
20098,29,20098029,9,1951,2,1,3,3,1,4,2,6,17,2003,5,13731,5
20099,12,20099012,4,1982,2,1,3,3,1,4,2,6,14,2003,1,19250,4
20099,19,20099019,2,1955,1,1,3,3,1,4,2,6,16,2003,1,30275,5
20099,26,20099026,5,1959,2,1,3,3,1,4,2,6,13,2003,1,90275,5
20099,33,20099033,10,1979,1,1,3,3,1,4,2,6,14,2003,1,15750,4
20099,40,20099040,9,1980,1,1,3,3,1,4,2,6,13,2003,5,8744,5
20099,70,20099070,5,1987,2,1,3,3,1,4,2,6,8,2003,5,0,5
20100,10,20100010,7,1973,1,1,3,3,1,4,2,6,16,2003,1,70000,4
20100,27,20100027,6,1969,2,1,3,3,1,4,2,6,16,2003,1,0,4
20100,34,20100034,10,1999,2,1,3,3,1,4,2,6,-1,2003,6,0,4
20100,48,20100048,12,2001,2,1,3,3,1,4,2,6,-1,2003,6,0,4
20101,17,20101017,5,1923,1,1,3,3,1,1,1,3,1,2003,2,7000,2
20101,24,20101024,5,1968,1,1,3,3,1,1,1,3,2,2003,1,7829,2
20101,31,20101031,5,1972,2,1,3,3,1,1,1,3,12,2003,1,7829,2
20101,53,20101053,9,2001,1,1,3,3,1,1,1,3,-1,2003,6,0,2
20103,14,20103014,1,1933,2,1,3,3,1,4,2,6,16,2003,2,12000,3
20105,11,20105011,7,1987,1,1,3,3,1,4,2,6,9,2003,5,0,4
20105,12,20105012,7,1962,2,1,3,3,1,4,2,6,14,2003,3,31503,4
20105,29,20105029,2,1991,2,1,3,3,1,4,2,6,4,2003,6,0,4
20106,19,20106019,8,1935,2,1,3,3,1,1,1,4,11,2003,1,16012,4
20106,26,20106026,5,1931,1,1,3,3,1,1,1,4,10,2003,1,16012,4
20107,13,20107013,12,1918,1,1,3,3,1,4,2,6,12,2003,1,36726,5
20107,20,20107020,8,1930,2,1,3,3,1,4,2,6,16,2003,1,39631,5
20108,17,20108017,4,1947,1,1,3,3,1,4,2,6,16,2003,5,61588,5
20109,12,20109012,5,1980,2,1,3,3,1,1,1,4,15,2003,5,8512,1
20109,29,20109029,1,1947,2,1,3,3,1,1,1,4,13,2003,2,0,1
20111,13,20111013,10,1975,1,1,3,3,1,4,2,6,10,2003,1,7250,3
20111,20,20111020,10,1976,2,1,3,3,1,4,2,6,12,2003,1,23437,3
20111,37,20111037,9,1994,1,1,3,3,1,4,2,6,2,2003,6,0,3
20111,44,20111044,8,2000,1,1,3,3,1,4,2,6,-1,2003,6,0,3
20112,12,20112012,7,1943,2,1,3,3,1,4,2,6,11,2003,1,27059,5
20112,29,20112029,4,1942,1,1,3,3,1,4,2,6,12,2003,1,27030,5
20115,17,20115017,2,1946,1,1,3,3,1,4,2,6,10,2003,1,5000,5
20115,24,20115024,9,1945,2,1,3,3,1,4,2,6,15,2003,1,48984,5
20115,31,20115031,7,1969,1,1,3,3,1,4,2,6,12,2003,3,32889,4
20116,19,20116019,11,1918,2,1,3,3,1,4,2,6,4,2003,2,10556,2
20117,18,20117018,11,1957,1,1,3,3,1,4,2,6,12,2003,1,85000,1
20117,25,20117025,6,1970,2,1,3,3,1,4,2,6,12,2003,1,-104471,1
20117,32,20117032,8,1997,1,1,3,3,1,4,2,6,-1,2003,6,0,1
20117,49,20117049,12,1999,1,1,3,3,1,4,2,6,-1,2003,6,0,1
20117,55,20117055,5,2001,2,1,3,3,1,4,2,6,-1,2003,6,0,1
20119,12,20119012,7,1971,2,6,2,3,3,4,2,6,13,2003,1,45000,4
20119,22,20119022,12,1990,1,6,2,3,2,4,2,6,7,2003,6,0,4
20119,26,20119026,2,1975,1,1,3,3,1,4,2,6,12,2003,1,18000,4
20119,32,20119032,10,1992,2,6,2,3,2,4,2,6,5,2003,6,0,4
20119,42,20119042,5,1995,1,6,2,3,2,4,2,6,3,2003,6,0,4
20119,52,20119052,3,1998,1,6,2,3,2,4,2,6,0,2003,6,0,4
20120,19,20120019,3,1949,1,1,3,3,1,1,1,4,11,2003,1,22000,3
20120,26,20120026,9,1949,2,1,3,3,1,1,1,4,5,2003,1,0,3
20120,33,20120033,7,1979,2,1,3,3,1,1,1,4,15,2003,5,11000,3
20120,40,20120040,4,1988,2,1,3,3,1,1,1,4,7,2003,6,0,3
20122,13,20122013,3,1918,1,1,3,3,1,4,2,6,12,2003,2,22383,4
20123,11,20123011,10,2002,2,1,3,3,1,1,1,4,-1,2003,6,0,1
20123,18,20123018,5,1978,2,1,3,3,1,1,1,4,14,2003,5,9000,1
20123,25,20123025,8,1993,2,1,3,3,1,1,1,4,2,2003,6,0,1
20123,32,20123032,3,1997,1,1,3,3,1,1,1,4,0,2003,6,0,1
20123,49,20123049,12,2000,2,1,3,3,1,1,1,4,-1,2003,6,0,1
20124,11,20124011,9,2002,2,1,3,3,1,1,1,4,-1,2003,6,0,1
20124,17,20124017,4,1967,1,1,3,3,1,1,1,4,13,2003,1,24005,1
20124,24,20124024,6,1970,2,1,3,3,1,1,1,4,9,2003,1,5,1
20124,31,20124031,5,1993,1,1,3,3,1,1,1,4,2,2003,6,0,1
20124,48,20124048,10,1995,2,1,3,3,1,1,1,4,0,2003,6,0,1
20124,54,20124054,2,2000,2,1,3,3,1,1,1,4,-1,2003,6,0,1
20125,15,20125015,9,1952,2,1,3,3,1,4,2,6,12,2003,1,18525,4
20125,22,20125022,5,1948,1,1,3,3,1,4,2,6,12,2003,1,18525,4
20126,11,20126011,3,1975,1,1,3,3,1,4,2,6,12,2003,1,20178,5
20126,29,20126029,3,1981,2,1,3,3,1,4,2,6,12,2003,1,30265,5
20129,11,20129011,4,1950,1,2,3,1,3,2,2,6,16,2003,3,52225,5
20129,28,20129028,1,1983,1,2,3,1,3,2,2,6,10,2003,5,25000,5
20130,17,20130017,10,1949,2,2,3,1,3,2,2,6,12,2003,4,6240,1
20130,24,20130024,7,1993,2,2,3,1,3,2,2,6,2,2003,6,0,1
20130,31,20130031,3,1995,2,2,3,1,3,2,2,6,1,2003,6,0,1
20132,17,20132017,7,1925,2,1,3,3,1,4,2,6,13,2003,1,9800,3
20132,24,20132024,6,1931,1,1,3,3,1,4,2,6,12,2003,1,9800,3
20133,11,20133011,4,1943,1,1,3,3,1,4,2,6,17,2003,1,32075,5
20133,28,20133028,5,1946,2,1,3,3,1,4,2,6,17,2003,1,125779,5
20133,35,20133035,4,1977,2,1,3,3,1,4,2,6,16,2003,5,31100,4
20133,47,20133047,8,1980,2,1,3,3,1,4,2,6,16,2003,5,23000,4
20136,11,20136011,9,1974,2,1,3,3,1,4,2,6,12,2003,4,23000,3
20136,21,20136021,2,1994,1,1,3,3,1,4,2,6,2,2003,6,0,3
20136,24,20136024,9,1977,2,1,3,3,1,4,2,6,10,2003,3,18000,3
20136,31,20136031,7,1994,1,1,3,3,1,4,2,6,0,2003,6,0,3
20136,41,20136041,4,2000,2,1,3,3,1,4,2,6,-1,2003,6,0,3
20136,51,20136051,12,1998,2,1,3,3,1,4,2,6,-1,2003,6,0,3
20137,10,20137010,12,1943,1,1,3,3,1,4,2,6,12,2003,1,54675,5
20137,27,20137027,7,1943,2,1,3,3,1,4,2,6,14,2003,1,15675,5
20138,13,20138013,7,1949,1,1,3,3,1,4,2,6,17,2003,1,146862,5
20138,20,20138020,8,1949,2,1,3,3,1,4,2,6,12,2003,1,20592,5
20138,37,20138037,4,1981,1,1,3,3,1,4,2,6,14,2003,5,0,5
20139,14,20139014,9,1938,1,1,3,3,1,4,2,6,12,2003,1,65684,5
20139,21,20139021,9,1947,2,1,3,3,1,4,2,6,12,2003,1,11070,5
20145,19,20145019,5,1928,1,1,3,3,1,4,2,6,14,2003,2,312460,5
20146,13,20146013,1,1949,1,1,3,3,1,4,2,6,12,2003,3,46260,5
20146,37,20146037,9,1983,1,1,3,3,1,4,2,6,10,2003,5,3256,5
20149,17,20149017,8,1941,1,1,3,3,1,4,2,6,15,2003,3,23194,4
20150,15,20150015,12,1963,2,1,3,3,1,4,2,6,11,2003,3,5351,1
20150,22,20150022,5,1985,2,1,3,3,1,4,2,6,11,2003,5,5400,1
20150,39,20150039,8,1986,2,1,3,3,1,4,2,6,10,2003,5,0,1
20150,46,20150046,7,1989,2,1,3,3,1,4,2,6,7,2003,6,0,1
20151,15,20151015,1,1931,1,1,3,3,1,4,2,6,9,2003,1,19530,4
20151,22,20151022,4,1931,2,1,3,3,1,4,2,6,8,2003,1,19530,4
20154,11,20154011,10,1955,2,1,3,3,1,1,1,4,5,2003,1,0,4
20154,18,20154018,7,1969,1,1,3,3,1,1,1,4,12,2003,1,29470,4
20154,25,20154025,8,1973,2,1,3,3,1,1,1,4,8,2003,1,28330,4
20154,32,20154032,1,1991,1,1,3,3,1,1,1,4,4,2003,6,0,4
20154,49,20154049,12,1995,1,1,3,3,1,1,1,4,0,2003,6,0,4
20154,55,20154055,10,1976,1,1,3,3,1,1,1,4,12,2003,5,3288,4
20155,12,20155012,2,1974,2,1,3,3,1,1,1,4,13,2003,5,45000,4
20155,18,20155018,10,1953,2,1,3,3,1,1,1,4,15,2003,2,28000,4
20155,22,20155022,7,1994,2,1,3,3,1,1,1,4,2,2003,6,0,4
20155,25,20155025,4,1953,1,1,3,3,1,4,2,6,17,2003,5,47000,4
20155,32,20155032,12,1977,2,1,3,3,1,1,1,4,16,2003,5,11996,4
20155,49,20155049,5,1987,1,1,3,3,1,4,2,6,8,2003,5,0,4
20156,16,20156016,11,1950,2,1,3,3,1,4,2,6,12,2003,1,19920,5
20156,23,20156023,7,1949,1,1,3,3,1,4,2,6,16,2003,1,46181,5
20156,30,20156030,11,1975,2,1,3,3,1,4,2,6,16,2003,1,7882,5
20156,40,20156040,10,1967,1,1,3,3,1,4,2,6,12,2003,1,66718,5
20158,12,20158012,10,1941,1,1,3,3,1,4,2,6,10,2003,1,16500,4
20158,29,20158029,10,1943,2,1,3,3,1,4,2,6,12,2003,1,16500,4
20159,10,20159010,2,1964,1,1,3,3,1,4,2,6,16,2003,3,49450,4
